dataset_id,file,boundary_m,label,omega_rpm,axial_depth_m,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
1,ds1_time1_1.h5,0.0014729720492096473,0,2000.0,0.001,2.155898882697718,-0.9008667320576634,1530.63310162088,2.2391171144164574,-0.46433375335405375,0.2752011799348989,0.9999882452227767,2.1887865440295253,0.0004787234042553656,169.75802719521093,0.7822365434869323,0.2030308268915098
1,ds1_time1_2.h5,0.0014729720492096473,1,2000.0,0.002,1.849062145295407,-2.059534440193355,117831.28079909924,-0.9194653574567926,-0.38799002240703984,0.3056588027699234,0.9997591235236979,3.6454072684072125,0.007898936170213533,272.06258140929674,0.7406175874064228,0.26446398888868927
1,ds1_time1_3.h5,0.0014729720492096473,1,2000.0,0.003,1.8867285497628836,-1.7229145621387496,2025009.558554598,-0.09192011837335887,-0.3138404744605643,0.4316482880257459,0.9988075658799035,7.108503881395625,0.02194148936170426,472.85714882126223,0.7464232973353124,0.23590510964519693
1,ds1_time1_4.h5,0.00486265734176468,0,2500.0,0.001,1.5844014483517481,-0.9258208126460967,2591.5972405353245,2.124174156607614,-0.4781886918830206,0.3398291247704697,0.9993543926966573,2.184883577683847,0.0003999999999999837,210.75398710015108,0.7315379077751276,0.18669522304030522
1,ds1_time1_5.h5,0.00486265734176468,0,2500.0,0.002,1.6273779739261252,-0.8353615515413764,1659.595859066142,0.8972439508996309,-0.46301649521290644,0.15197693140023222,0.9976996898233587,2.3079341547474503,0.00047999999999998044,186.7136694668188,0.7273096923853413,0.19398503289242627
1,ds1_time1_6.h5,0.00486265734176468,0,2500.0,0.003,1.6225939376149219,-0.8418897196389827,1829.8670949658654,0.5649680873248422,-0.45260918709901127,0.09721543147195798,0.9955021037823779,2.3170270383203033,0.00047999999999998044,178.14948251474215,0.7237015794784215,0.20812361980599028
1,ds1_time1_7.h5,0.00486265734176468,0,2500.0,0.004,1.6961184826778377,-0.8872336702691608,1944.0041290708664,0.38561771555441104,-0.4435148777193535,0.08566409017046264,0.9912336672446781,2.2076001503168747,0.0005599999999999772,173.27023719796742,0.7175839879345194,0.23590266236960028
1,ds1_time1_8.h5,0.00486265734176468,1,2500.0,0.005,2.2190208974404877,-2.01251080934379,4913.764625766238,-0.2879597422608369,-0.4318582213088809,0.24015094813270954,0.9999940429605132,2.131051209554795,0.005439999999999778,175.2247667257642,0.8059143048222263,0.3023531929304341
1,ds1_time1_9.h5,0.00486265734176468,1,2500.0,0.006,1.8626934065321274,-2.3088260413314687,116037.8596492716,-0.8179553700562955,-0.39534954991211474,0.2859122967155909,0.9999560565384753,2.8520236880310748,0.005519999999999775,257.1345657536289,0.853434611067012,0.3244969401280279
1,ds1_time1_10.h5,0.00122736072758267,0,3000.0,0.001,3.0216414391645094,-0.936494115034782,4097.317985857516,1.7798502050583174,-0.46923036960016434,0.34307217368554577,0.9999998273826267,2.167201264337834,0.0003225806451612903,247.24767565992346,0.8492351532381517,0.27440608488655815
1,ds1_time1_11.h5,0.00122736072758267,1,3000.0,0.002,1.6908036771142008,-1.932824651225042,113070.92055010321,-0.21889790909183698,-0.39261899027642877,0.45573179824078075,0.9995636260319706,3.7624242699851647,0.019596774193548386,371.9259187412173,0.7740229568610908,0.25868282705169404
1,ds1_time1_12.h5,0.00122736072758267,1,3000.0,0.003,1.702052270594021,-1.7896605967348533,1506251.432298271,0.379499405166029,-0.3459759955605612,0.5942965134857753,0.9993002626971802,6.757812820655213,0.009758064516129032,539.4102842212591,0.781750550109858,0.23878835272289647
1,ds1_time1_13.h5,0.0037118327626069485,0,3500.0,0.001,1.5823462348770008,-0.9548152868736475,4813.045816852113,1.99384443906758,-0.48234657074168696,0.3117760747585933,0.9999689656971025,2.1222143334090053,0.000317460317460317,294.5379213116099,0.7164364982116878,0.1982347360240501
1,ds1_time1_14.h5,0.0037118327626069485,0,3500.0,0.002,2.0097294129628978,-0.8916326617693802,3641.7654291939343,0.9545406003151626,-0.4692326344838393,0.1981563410449542,0.9998677864777635,2.214307328047647,0.000317460317460317,264.47197924314185,0.6813156259349209,0.2057729927824573
