file,omega_rpm,axial_depth_m,boundary_m,label,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
time1_1.h5,2000.0,0.001,0.0014729720492096473,0,2.155816171286049,-0.8939340131195967,1524.831973467099,2.2390677122601064,-0.46433387242170027,0.27628195502421604,0.9999882785576811,2.1887002120589663,0.0004787234042553656,169.75790019437775,0.7822360861719886,0.20302983032406222
time1_2.h5,2000.0,0.002,0.0014729720492096473,1,1.8489820899768055,-2.057634660923235,117171.29445317075,-0.9194919814770594,-0.3879911274533685,0.30428579686099466,0.9997597275995522,3.6453046583427136,0.007898936170213533,272.06629386395696,0.7406175187396448,0.264464098454869
time1_3.h5,2000.0,0.003,0.0014729720492096473,1,1.8866467551301305,-1.7227488129674606,2034182.6309689973,-0.09193922781509148,-0.31384226704968554,0.42974387147966897,0.998808745346045,7.108367288041168,0.02194148936170426,472.861163295176,0.7464232561222391,0.23590515140014034
time1_4.h5,2500.0,0.001,0.00486265734176468,0,1.5843200920836018,-0.9198310241926203,2589.5278990139886,2.1240941469303896,-0.47818878180071345,0.3403718105322372,0.999357592355169,2.184772585597008,0.0003999999999999837,210.75363495817945,0.7315378471412539,0.18669412859704662
time1_5.h5,2500.0,0.002,0.00486265734176468,0,1.627311656557406,-0.8133096386967115,1641.8408584069257,0.8972099552292089,-0.4630179778966318,0.15106700240006568,0.9977076925484244,2.3078501790358055,0.00047999999999998044,186.7137990981393,0.7273077620729989,0.19398374912197144
time1_6.h5,2500.0,0.003,0.00486265734176468,0,1.6225492462084086,-0.8091825670687526,1839.5708436002571,0.5649429727757593,-0.45261294860734935,0.09480092759151161,0.9955156999482756,2.3169687482593746,0.00047999999999998044,178.14973110924092,0.72369484446229,0.20812210519253602
time1_7.h5,2500.0,0.004,0.00486265734176468,0,1.6961283378280774,-0.8499657211379399,1899.0104891911678,0.3856018471174959,-0.44352170438453037,0.08383105928939732,0.9912549894869437,2.207567690043588,0.0005599999999999772,173.27024649070344,0.7175601919116171,0.2359013911690669
time1_8.h5,2500.0,0.005,0.00486265734176468,1,2.2191284625835745,-1.9995799752113548,4698.019389118361,-0.28807942850254586,-0.4318694084367821,0.23958937829274238,0.9999940740938316,2.1310447579579996,0.005439999999999778,175.22534640010312,0.8058569759150734,0.30235883358439936
time1_9.h5,2500.0,0.006,0.00486265734176468,1,1.8626178314312736,-2.310832076486366,115687.12175180051,-0.8180549758376682,-0.39536272062673705,0.28612771099588025,0.9999561543746063,2.8520380029888885,0.005519999999999775,257.13768020516545,0.8534295662343017,0.32450029672380487
time1_10.h5,3000.0,0.001,0.00122736072758267,0,3.0214866004008383,-0.9296863977436541,4039.1489395892304,1.7797535628860321,-0.469230530065154,0.34442893291420257,0.9999998339602063,2.167070730960157,0.00032258064516129043,247.24831977750011,0.8492340870912825,0.2744067634444863
