dataset_id,file,boundary_m,label,omega_rpm,axial_depth_m,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
3,ds3_time3_62.h5,0.0011870977643144063,1,9500.0,0.002,1.7426341324928278,-1.7573522780790725,292660.9176053305,-0.7141714318115339,-0.33862630195231386,0.683062490749761,0.9991972671118797,5.034546163730553,0.004858299595142945,1087.447877320713,0.772207100951967,0.23464501246893008
3,ds3_time3_63.h5,0.0011870977643144063,1,9500.0,0.003,1.8089940899766936,-1.6515665672176763,1470003.4605246047,-0.6463220061837809,-0.31024314508885087,0.81013317545078,0.9985929379436757,6.995140384902145,0.004858299595142945,1283.1758154269364,0.7763791930596567,0.2192724324256807
3,ds3_time3_64.h5,0.0012467584930206483,0,10000.0,0.001,2.517457638682732,-0.973559164825398,8505.054977616885,2.160211843469257,-0.4769994001242402,0.10781268342044169,0.9999999990087315,2.2653006899527646,0.00011842105263160096,864.8390825904359,0.5707564022071329,0.279209171775511
3,ds3_time3_65.h5,0.0012467584930206483,1,10000.0,0.002,1.7409322120140116,-1.6235166624001922,66377.20947637295,-0.5104179070583678,-0.4195402775959555,0.41630032714289844,0.9992619175720412,3.279637171142225,0.005881578947369515,923.8195151788861,0.7458801811478012,0.27157450190945887
3,ds3_time3_66.h5,0.0012467584930206483,1,10000.0,0.003,1.6480311831118626,-1.6908519051111168,1036092.1316321822,0.47713715997445877,-0.36327389226547113,0.7187452640083345,0.9996112204837695,5.306771145751701,0.0029210526315794905,1243.165486994133,0.7600777330154688,0.22933280867536
3,ds3_time3_67.h5,0.0014242401513352692,0,10500.0,0.001,1.8232580544049273,-0.974594060324789,6545.684037666423,1.90295895398898,-0.4914777753606949,0.08787860581967341,0.9999999982944237,2.248506631541886,0.00011904761904760196,890.9183841474946,0.5480330095656172,0.2838463866954767
3,ds3_time3_68.h5,0.0014242401513352692,1,10500.0,0.002,1.9245107852175003,-1.5811331496607126,32646.923187181546,-0.5030845872417531,-0.4473291462251024,0.30160953513894084,0.9988119391418995,3.0002933389704096,0.005793650793649963,898.8959393254075,0.7530369469514213,0.289899288828725
3,ds3_time3_69.h5,0.0014242401513352692,1,10500.0,0.003,1.9486505494170576,-1.4390360151862591,416934.3074177201,-0.9451646433790012,-0.39594713491297023,0.4573647573899809,0.9988281281170099,4.273133376733729,0.005793650793649963,1096.624838251355,0.7578406490788469,0.20032684463200545
3,ds3_time3_70.h5,0.0017359102638536217,0,11000.0,0.001,1.5395054996937025,-0.9691444662562623,10818.95083824865,2.065876454492324,-0.4608660987659831,0.08320031751075188,0.9999999971729104,2.2293213824764004,8.021390374331194e-05,945.7733016959481,0.5570318012486648,0.26725787025175163
3,ds3_time3_71.h5,0.0017359102638536217,1,11000.0,0.002,2.094085081165764,-1.1717993609655502,26660.73502145065,0.2859713484769038,-0.43671028274678314,0.12752442322632682,0.9999915483603201,2.418190557389608,8.021390374331194e-05,860.1069391181204,0.7216826251281809,0.31128390557013147
3,ds3_time3_72.h5,0.0017359102638536217,1,11000.0,0.003,1.8101288188816222,-1.7943595345551682,361489.9020286529,-1.3182859914555785,-0.3564789817910911,0.4462954400795329,0.9995635266678756,4.215944798724687,0.002847593582887574,1055.9770824948464,0.7765516606601199,0.22145379262086168
3,ds3_time3_73.h5,0.0022230896701246877,0,11500.0,0.001,1.4574867524960278,-0.9662598341072481,13414.838878667666,2.1342441471270726,-0.44356500007302446,0.08408746739269451,0.9999999939749117,2.259518107685322,7.905138339919793e-05,995.6812024721901,0.5561380623939077,0.25774364964570373
3,ds3_time3_74.h5,0.0022230896701246877,0,11500.0,0.002,2.056778886208631,-0.9158250670276894,20818.60962685098,1.0245895620646437,-0.42728351313443896,0.06828620627990578,0.9999999855686993,2.3461317707479807,7.905138339919793e-05,877.3081779636414,0.558761839990156,0.25991302447726117
3,ds3_time3_75.h5,0.0022230896701246877,1,11500.0,0.003,1.87248241966318,-1.700373373515849,94470.11552239947,-0.7694983473147284,-0.3788503711126298,0.21324636812755907,0.9999121051853335,2.965090916302516,0.0038339920948610995,933.5739714592614,0.7534773324839036,0.2941007141711725
3,ds3_time3_76.h5,0.0022230896701246877,1,11500.0,0.004,1.7331618145534033,-1.8999962946692064,711283.8197407797,-1.0149006849956579,-0.3127503774974714,0.4277099008586187,0.9997772747856343,4.746534408847797,0.0038339920948610995,1110.889588684872,0.7748230438043796,0.22066267335062875
3,ds3_time3_77.h5,0.0029457112523219044,0,12000.0,0.001,1.5084679237609087,-0.9654286826518835,14313.96372520646,1.895211684372469,-0.45901827347773,0.06980832049733332,0.9999999852318925,2.2499276711330514,8.064516129031862e-05,1017.8857801682386,0.5774433229064646,0.2648275912189768
3,ds3_time3_78.h5,0.0029457112523219044,0,12000.0,0.002,1.7427351195289864,-0.9039758890338084,22069.586084601757,0.9017062080980065,-0.44239923285290905,0.05759157475960987,0.9999999637772254,2.3592407862571805,8.064516129031862e-05,901.1824212870688,0.5760344859488108,0.2659452929563696
3,ds3_time3_79.h5,0.0029457112523219044,1,12000.0,0.003,2.0041607851795247,-0.8835083875161035,20543.097168372224,0.6577279393981778,-0.43515233338606346,0.05246182228274696,0.9999999379715917,2.397391252444077,8.064516129031862e-05,872.9829465762605,0.5807543835159639,0.2672039202996057
3,ds3_time3_80.h5,0.0029457112523219044,1,12000.0,0.004,2.005404221493878,-1.8038465175333125,118868.095218723,-0.7089927066887788,-0.39073187770105466,0.2182549658489954,0.9999166823516972,2.853912008486914,8.064516129031862e-05,938.3978932198531,0.7643103951241184,0.303344144255315
3,ds3_time3_81.h5,0.0029457112523219044,1,12000.0,0.005,1.8405139177983063,-1.766790100797944,645926.2088635926,-0.7520240152703228,-0.3338497427663451,0.4046102412309743,0.9999081846607135,3.9853287557201793,4.032258064515931e-05,1090.4902732874718,0.8025090728166143,0.25380099352430635
3,ds3_time3_82.h5,0.003969004780406621,0,12500.0,0.001,1.5489173474514997,-0.9691443515378724,11843.74923104696,1.5451339933722896,-0.4938283527164355,0.058521869909635364,0.9999999559587025,2.1675137510409366,7.999999999999674e-05,1030.7285273362581,0.5881335502238395,0.28299018196992504
