feature_name,rpm_correlation,depth_correlation
cross_spectral_centroid,0.9115620542068176,-0.16067889516926576
a4_energy,-0.20217257133001232,0.9024779586822699
autocorr_first_zero_lag,-0.788463299439634,-0.10825769495678106
coherence_at_tpf,-0.05837976879433095,-0.7565339765149903
harmonic_peak_ratio,0.09300714118107728,-0.7126612337590285
dominant_peak_tpf_ratio,0.06432276032864809,-0.7039548446851979
wavelet_energy_entropy,0.6926542240800182,-0.2911137666232267
d1_relative_energy,0.676755722557286,-0.3251375954405647
off_harmonic_energy_ratio,0.1356486381843408,0.6732799832926724
spectral_rolloff_85,0.6684172676972108,-0.4468097259229213
spectral_spread,0.6588107976469594,-0.38944129438887803
spectral_centroid,0.6511568984477782,-0.3469926195650197
acceleration_jerk_rms,0.2557212090989044,0.6459607281942309
spectral_skewness,-0.6205341564147835,0.38697833726263536
phase_space_area,0.19053397319678533,0.6139690042296777
ar_coeff_1,-0.60834386852007,0.20926540206571456
d1_wavelet_kurtosis,-0.6054423784854449,-0.27995618215266066
d4_energy,-0.09123816285193086,0.5913986189604085
spectral_kurtosis,-0.5686412204635615,0.31233830792538486
higuchi_fractal_dimension,0.5608523109740611,0.060992629990164984
permutation_entropy,0.532785023316747,0.4629363691888522
skewness_1st_derivative,-0.07921151834649999,-0.5006417038792453
transimpedance,-0.4902894078426089,-0.27126488771012297
katz_fractal_dimension,0.4902665486165539,0.4780544460859868
d3_d4_subband_energy_ratio,0.4668094106684822,-0.20500869610629818
coherence_at_dominant_resonant,-0.12810304669853204,-0.4479361298307276
spectral_flatness,0.4444703773373903,-0.06906628337327396
multi_axis_energy_asymmetry,0.08398128238977116,0.44219363903093883
shape_factor,0.15610705127967553,-0.4365129048493209
ar_coeff_2,0.39984566778184066,-0.08126413548888203
ar_residual_variance,0.38666457567485424,-0.03476806459036376
d3_wavelet_std,0.3653991032101705,0.19462918021278028
kurtosis_1st_derivative,0.22819071544006853,-0.322553374583003
zero_crossing_rate,0.2553509327716992,-0.3002717581716614
mean_crossing_rate,0.2553509327716992,-0.3002717581716614
d1_energy,0.29854776294322904,-0.04200773994437687
ar_coeff_3,-0.28170815994055143,-0.03805251967520682
spectral_entropy,0.2582244996487758,-0.18940631456783635
margin_factor,0.19215988954426794,-0.23383544976671516
phase_space_ellipsicity,0.2284513902414257,-0.11278948286512581
cross_correlation_coeff,-0.1842954201782781,0.22346581124704926
cross_axis_peak_delay,-0.21628123203577349,-0.06229362700691506
d2_energy,0.2051198390640341,-0.022245502732932416
impulse_factor,0.1648790409636771,-0.20405328827073133
kurtosis,0.19787565278242397,0.06006063279051816
bivariate_orbit_radius_ratio,0.01283544438195341,0.1647502471974979
skewness,0.15874762230740436,-0.024090528608005393
crest_factor,0.15362895316199834,-0.1559945470925473
d3_energy,0.05024503608034902,0.07810777439690411
