dataset_number,grid_point,file_name,RPM,Axial_Depth,kurtosis,skewness,crest_factor,margin_factor,shape_factor,impulse_factor,zero_crossing_rate,mean_crossing_rate,kurtosis_1st_derivative,skewness_1st_derivative,off_harmonic_energy_ratio,spectral_centroid,spectral_entropy,spectral_flatness,spectral_rolloff_85,spectral_spread,spectral_skewness,spectral_kurtosis,cross_correlation_coeff,cross_axis_peak_delay,bivariate_orbit_radius_ratio,coherence_at_tpf,coherence_at_dominant_resonant,cross_spectral_centroid,multi_axis_energy_asymmetry,d1_energy,d2_energy,d3_energy,d4_energy,a4_energy,wavelet_energy_entropy,d1_wavelet_kurtosis,d3_wavelet_std,d1_relative_energy,d3_d4_subband_energy_ratio,permutation_entropy,higuchi_fractal_dimension,katz_fractal_dimension,phase_space_ellipsicity,phase_space_area,ar_coeff_1,ar_coeff_2,ar_coeff_3,ar_residual_variance,autocorr_first_zero_lag,harmonic_peak_ratio,dominant_peak_tpf_ratio,transimpedance,acceleration_jerk_rms
1,1,time1_1.h5,2000.0,0.001,1.2981871186798721,-0.07063186616773692,1.6807121562095308,3.37952439222494,1.3022970863528722,2.1887865440295253,0.08506582738596569,0.08506582738596569,2.1558988826977177,2.2391171144164574,0.4182322779986436,398.9939719613501,0.08870060989601815,3.0575732658681966e-07,666.6666666666019,736.4818060015572,4.291155857836923,26.192962077554757,0.8793502663417568,0.0004787234042553656,0.20303082689150986,0.9999999972759909,0.9999882452227767,169.75802719521093,-0.46433375335405375,241.48424821672901,1530.63310162088,12166.619230877292,44209.909397028765,5053382.971807966,0.10051936797233328,16.470126817628934,2.074905760630524,4.724303130131842e-05,0.2752011799348989,0.2655786926864802,1.0028785061987509,1.020606058505365,0.7822365434869334,4.963577884940346e-07,1.885121036931238,-0.9008667320575194,0.008131315664071563,0.14726856215328527,0.0019148936170214625,0.008907821246767533,0.9999999999999027,0.929560558613166,54564.372652897415
1,10,time1_10.h5,3000.0,0.001,1.308597179520628,-0.07786635902782856,1.6710779256073973,3.3090704148518637,1.2968882127684787,2.167201264337834,0.09550373008938773,0.09550373008938773,3.0216414391645094,1.779850205058317,0.4236920614621581,491.4205195811166,0.09192056040077191,1.440055631367517e-06,809.1666666666667,796.7888096606641,3.575571304061582,18.734102893969215,0.8844098598332288,0.0003225806451612903,0.27440608488655843,0.9999999976950538,0.9999998273826267,247.24767565992346,-0.46923036960016434,506.84827883031676,4097.317985857516,23919.881242979885,69722.59214734346,4869475.719054464,0.1615008164721729,13.955331197171661,3.580334702519015,0.00010202830235504277,0.34307217368554577,0.28928220568309787,1.0064623645313515,1.0469982037433803,0.8492351532381516,5.15952563020333e-07,1.889207320621374,-0.9364941150349771,0.03210977287536489,0.48505169632886974,0.0012903225806451613,0.00838670105855273,1.0,1.3440914364765906,50564.13838086595
1,100,time1_100.h5,12000.0,0.001,1.2654562948884653,-0.07211985860038836,1.727681594783797,3.7664361521619116,1.321630236970492,2.283356235523667,0.12503256056264653,0.12503256056264653,4.695323175687619,1.932862930716619,0.40181025543170745,1415.1503068740774,0.11719564435740949,6.672880627112342e-05,3200.000000000068,1658.8231032579445,1.4661836213386132,4.195408466248585,0.8441398832966076,7.812499999999833e-05,0.26257721312466,0.9999999999998301,0.9999999999637161,1094.966423415868,-0.461796842590017,6290.255731843122,14916.851135732786,234137.96162284655,262388.6901425063,691769.2798405174,1.515547913212475,4.007933051008574,21.798659409587117,0.00520069444371323,0.8923325220141292,0.414498779715556,1.2008127459458533,1.2000141502319779,0.7062297281467721,3.7438253784855436e-07,1.1296274460887152,-0.04096592286974682,-0.3491415351065288,21.392820904407962,0.00031249999999999334,0.009620496549981383,1.0000000000000213,0.46082673833512716,213711.77053029844
1,101,time1_101.h5,12000.0,0.002,3.0364340231123492,1.0033384482827652,3.1197924832527786,9.418824647458306,1.5484185525615666,4.8307445612107225,0.08127116436572024,0.08127116436572024,2.448186007747245,-0.6911378545923353,0.6347120960898578,1422.5687795254462,0.28003345546153746,0.0007461318831725652,2616.6666666667224,1278.2914171985017,1.4936105161617017,5.159162174614317,0.8777663219905519,0.0038281249999999184,0.22740387233445364,0.9999908699502151,0.9976976680432574,1006.8048183526064,-0.3627530739466843,51551.57273249278,427935.22190708795,2094041.934296314,1078093.726176268,3009402.48135666,1.7766371276548196,3.1681410394806466,65.58405793544419,0.007739285353857506,1.9423561082424283,0.4934608568132885,1.408668506334873,1.4164152981322822,0.7475846878876463,4.383563141624986e-05,1.790715229846759,-1.2676429916076053,0.3097073832724564,86.41215397589784,0.00031249999999999334,0.009061167986408797,1.0000000000000213,0.10332459448330068,1364938.0051883957
1,102,time1_102.h5,12000.0,0.003,4.817373188386802,1.6265586736184632,3.6793610978410314,15.448323274248123,1.8010207335204829,6.626605623320383,0.08153164886689242,0.08153164886689242,2.299441098998515,-0.7194560769608717,0.7684775029353013,1566.8913654061528,0.3301842105552032,0.002063652195638058,2830.0000000000605,1338.8963525337313,1.4289973176947712,4.860819240210678,0.9126587409971565,0.0038281249999999184,0.21421923387874114,0.9998420369385014,0.9973331583901882,1044.317498488582,-0.3246548167676493,200103.2803146243,2045436.0646567757,7695021.85470808,3148564.1516074045,7466367.220084769,1.8722764788354325,5.0788189025330395,125.82425071589932,0.009734784005775425,2.443978106902989,0.4813526370906844,1.5067347977121868,1.576607370191612,0.7417667017957648,0.00018548623187330434,1.775794933370029,-1.2802122555800346,0.32639475503357107,347.01317901321903,0.00031249999999999334,0.0074443688727816775,1.0000000000000213,0.08252460909556872,2971072.359206551
1,11,time1_11.h5,3000.0,0.002,2.3893525970427003,0.7794499896806477,2.538285670477519,6.751272888900544,1.4822698302816928,3.7624242699851647,0.08280126352577458,0.08280126352577458,1.6908036771142012,-0.21889790909183696,0.615853656212862,927.0847660686672,0.2068854632936681,8.043040686546797e-05,1555.0,987.574356124972,2.4669700685771137,10.381231528133506,0.8792942746844015,0.019596774193548386,0.25868282705169415,0.9999848193487433,0.9995636260319706,371.9259187412173,-0.39261899027642877,6113.057733969468,113070.92055010321,1467928.3251442758,3221035.5538296504,15149894.791406967,1.0493256891461302,12.280400963573708,28.047591877030452,0.00030629545399725775,0.45573179824078075,0.3923982924144593,1.1829494924732356,1.2018183288256779,0.7740229568610907,2.397409758715662e-05,2.355181208995134,-1.932824651224886,0.5495004964882096,5.248911182669963,0.0007258064516129032,0.007933255608437597,1.0,0.11980655024299422,999041.7500159092
1,12,time1_12.h5,3000.0,0.003,4.455431001713701,1.547527176552323,3.8002287287613057,15.075776534097967,1.7782647579894326,6.757812820655213,0.08320451643255596,0.08320451643255596,1.702052270594021,0.379499405166029,0.7737173789485485,1045.027456709522,0.3079394378697076,0.0003009936882608648,1738.3333333333335,1035.4403764428666,2.398294280067328,9.621289130215303,0.9073724089345,0.009758064516129032,0.23878835272289645,0.9995124789280615,0.9993002626971802,539.4102842212591,-0.3459759955605613,70103.19366906829,1506251.432298271,12042992.534202015,20264282.66180678,37439166.754108116,1.5645388425659954,9.871082687373098,80.3359900331844,0.0009829002371532793,0.5942965134857753,0.4054971949816006,1.2317414902239356,1.3468610200561626,0.7817505501098578,0.00016339488042216286,2.2340299414435023,-1.7896605967347765,0.5002467553678107,54.339037971670884,0.0004838709677419355,0.0064665526214174405,1.0,0.09306159853118993,2459715.8424527664
1,13,time1_13.h5,3500.0,0.001,1.316494280632709,-0.09899709140908373,1.6418378037760817,3.237193414069591,1.2925846441884212,2.1222143334090053,0.11042518712863647,0.11042518712863647,1.5823462348770008,1.99384443906758,0.4271947677095932,548.6785771963874,0.09304036622428212,1.678090678580357e-06,933.3333333333346,918.260635214686,3.4730301164725854,17.61545911364039,0.8738708705136813,0.000317460317460317,0.19823473602404917,0.9999999511093387,0.9999689656971026,294.5379213116099,-0.48234657074168696,766.6245577495954,4813.045816852113,20269.858783907257,65014.15735508926,3142845.85909013,0.21598518442800393,9.855956099114648,3.5307337544613984,0.0002370727942439456,0.3117760747585933,0.29116640555840195,1.0081808943323065,1.0470755513299006,0.7164364982116861,2.140221191341372e-07,1.868492149281769,-0.9548152868737595,0.0667312970971761,0.6575274964538025,0.0011111111111111096,0.008079692876427912,1.0000000000000013,1.2154761362579918,45767.79946082859
1,14,time1_14.h5,3500.0,0.002,1.3386663838224366,-0.07588220170996526,1.7277691074296646,3.2310312856164978,1.2815990970817779,2.2143073280476475,0.07431128945134656,0.07431128945134656,2.009729412962898,0.9545406003151626,0.43799503989817334,428.78507004658775,0.0884534960424795,1.2655396066545526e-06,741.8055555555566,689.391702511844,4.2651505347047305,26.730611731656378,0.9140032184314746,0.000317460317460317,0.20577299278245773,0.9999995940434375,0.999867786477763,264.4719792431418,-0.4692326344838393,707.9261013593725,3641.7654291939343,46666.00787905711,235500.9566333805,12424999.233765058,0.17261261504693287,8.71335836135127,5.357221140176445,5.569171352151476e-05,0.1981563410449542,0.2940081272952809,1.0082467445496561,1.0963702363950663,0.6813156259349211,1.1814779242864153e-06,1.8990900045087629,-0.8916326617670485,-0.024690676299547586,0.7020198667317441,0.0011111111111111096,0.0072153385722293515,1.0000000000000013,1.2876372805432255,76827.39955130761
1,15,time1_15.h5,3500.0,0.003,1.3726896017557413,-0.05770545563063235,1.819520210705394,3.208064460034517,1.2667722918374835,2.304917787359893,0.07431128945134656,0.07431128945134656,2.7585451146246154,0.5753245738821555,0.45324115129892995,398.7243683459738,0.085582992638951,1.279044706354157e-06,700.0000000000009,629.9644721465594,4.663733806895213,32.70518898510187,0.9394286272089595,0.0003968253968253963,0.21721943540889707,0.9999989685876088,0.9997213155934829,250.7125363910039,-0.45804470925538443,654.7313427261338,3421.813666819811,47762.50493959577,461203.754302331,27429093.494864054,0.1416374839658597,8.781786155261035,5.419788452401951,2.3431685241148095e-05,0.10356052936266041,0.2966528356426989,1.008683094829138,1.1357112190793293,0.6431071159846046,3.1962297664899406e-06,1.899551061516739,-0.8608115565523805,-0.054769641015482276,0.7046092304278102,0.0011111111111111096,0.0060227434268071076,1.0000000000000013,1.4039186073770669,98247.67910426919
