feature_name,valid_values_count,nan_count,inf_count,min,max,mean,std
kurtosis,102,0,0,1.265430696605906,5.961283433842026,2.0411203399587468,1.107708716639468
skewness,102,0,0,-0.16451918098374985,1.912744431066789,0.31306092586362694,0.5790066346107399
crest_factor,102,0,0,1.308328541789363,4.01487905873745,2.126276272295203,0.6752293990541502
margin_factor,102,0,0,1.3421412033327913,19.40819363545284,5.009580483874956,3.8758660134871303
shape_factor,102,0,0,1.0119080856167044,1.928963247968539,1.3436097344065394,0.1939222155246037
impulse_factor,102,0,0,1.3335548725125632,7.701421028212779,2.975609524802809,1.4643035670501348
zero_crossing_rate,102,0,0,0.06479365506116413,0.12503256056264653,0.0838713271436299,0.011343769155704004
mean_crossing_rate,102,0,0,0.06479365506116413,0.12503256056264653,0.0838713271436299,0.011343769155704004
kurtosis_1st_derivative,102,0,0,1.5084679237609087,6.276422367746161,2.0982625319175607,0.7845002125423349
skewness_1st_derivative,102,0,0,-1.3886087324558334,2.9541878258009353,0.360664964121568,1.056868913393465
off_harmonic_energy_ratio,102,0,0,0.40181025543170745,0.9777304343636912,0.5616560569005324,0.14636192684321236
spectral_centroid,102,0,0,298.3966114702771,1566.8913654061528,871.7738091062818,338.75919888279174
spectral_entropy,102,0,0,0.0356017541269353,0.3616595888390751,0.14607928850846025,0.07923282509566465
spectral_flatness,102,0,0,3.0575732658681966e-07,0.002182730979201807,0.00023670227462262283,0.00046795503554873376
spectral_rolloff_85,102,0,0,562.500000000023,3200.000000000068,1601.8041938998074,729.2701871340132
spectral_spread,102,0,0,531.2657765280579,1658.8231032579445,1049.5093988414953,247.61417617968414
spectral_skewness,102,0,0,1.2718139917885805,5.839868619061139,2.7140455483596364,0.9854849370556288
spectral_kurtosis,102,0,0,4.161289831935283,49.557261208435435,12.945880603412872,8.358522886036644
cross_correlation_coeff,102,0,0,-0.8387964379991144,0.9860987416304229,0.8777584009687859,0.2474031589990115
cross_axis_peak_delay,102,0,0,0.0,0.02194148936170426,0.0024654506398643196,0.004263099520295876
bivariate_orbit_radius_ratio,102,0,0,0.18669522304030556,0.38211577707602434,0.263173920229121,0.03230959837504437
coherence_at_tpf,102,0,0,0.9952559419553212,0.9999999999998301,0.9997567420698613,0.0007064914538958348
coherence_at_dominant_resonant,102,0,0,0.9912336672446781,0.9999999999637161,0.9990516410609035,0.0015402080335466754
cross_spectral_centroid,102,0,0,169.75802719521093,1094.966423415868,572.1764589401662,232.19238604772755
multi_axis_energy_asymmetry,102,0,0,-0.521795032552648,-0.31384047446056423,-0.42301267273993415,0.04932389072049633
d1_energy,102,0,0,241.48424821672901,539053.828802936,30813.692476733228,75511.52583363763
d2_energy,102,0,0,1530.63310162088,6109915.821934694,355886.43857821496,870547.658822211
d3_energy,102,0,0,12166.619230877292,17029414.80301742,2021935.2374898756,3344127.586417882
d4_energy,102,0,0,41956.52367466263,30352934.216213636,6137839.581935203,6499025.997662134
a4_energy,102,0,0,477893.6482027733,218349598.15464175,30079181.53340767,42376191.27582951
wavelet_energy_entropy,102,0,0,0.03305318643661174,1.9754453343419607,1.028447529780818,0.5209674361910445
d1_wavelet_kurtosis,102,0,0,3.139767472961726,16.81867535499234,7.170924043828002,3.327976908429401
d3_wavelet_std,102,0,0,2.074905760630524,167.63298197963755,36.88465948551176,34.32540464692315
d1_relative_energy,102,0,0,3.4377640386866567e-06,0.0111488258186289,0.001961740645448737,0.003065460316319466
d3_d4_subband_energy_ratio,102,0,0,0.04165570652611064,2.891650125115891,0.36607261370702715,0.4903717044354112
permutation_entropy,102,0,0,0.2655786926864802,0.5259506420389523,0.391763230904813,0.060842604286061364
higuchi_fractal_dimension,102,0,0,1.0028785061987509,1.5800590036846662,1.147260579806927,0.13515350236850524
katz_fractal_dimension,102,0,0,1.020606058505365,1.6590300118724295,1.2861175257813313,0.1490725566363612
phase_space_ellipsicity,102,0,0,0.5570318012486651,0.9924316615859289,0.7417909659381354,0.08407278828075905
phase_space_area,102,0,0,2.140221191341372e-07,0.0006805721581118614,0.0001322550223433539,0.00018544622595018627
ar_coeff_1,102,0,0,1.129618996535583,2.5939023126636642,1.8568201802487265,0.30712832499454057
ar_coeff_2,102,0,0,-2.3088260413320163,-0.03049622018441325,-1.037917938212558,0.536266656448407
ar_coeff_3,102,0,0,-0.3627794295159116,0.7048387940725056,0.0999601824451678,0.2812016886139841
ar_residual_variance,102,0,0,0.14726856215328527,739.4970433048485,45.06537562067335,109.19378087503901
autocorr_first_zero_lag,102,0,0,0.00031249999999999334,0.0020744680851065844,0.0006483405383444171,0.0003586767280700053
harmonic_peak_ratio,102,0,0,4.992749543585933e-07,0.009689853135760084,0.006208876664165713,0.002730593053906799
dominant_peak_tpf_ratio,102,0,0,0.0,2.69583333333372,0.8109885620915138,0.5028305431737699
transimpedance,102,0,0,0.049850740178828686,1.4039186073770669,0.2900409216639597,0.31652950957140724
acceleration_jerk_rms,102,0,0,44155.99071416138,5549715.107079846,1598301.1325717638,1526100.0594059194
