dataset_number,grid_point,file_name,RPM,Axial_Depth,kurtosis,skewness,crest_factor,margin_factor,shape_factor,impulse_factor,zero_crossing_rate,mean_crossing_rate,kurtosis_1st_derivative,skewness_1st_derivative,off_harmonic_energy_ratio,spectral_centroid,spectral_entropy,spectral_flatness,spectral_rolloff_85,spectral_spread,spectral_skewness,spectral_kurtosis,cross_correlation_coeff,cross_axis_peak_delay,bivariate_orbit_radius_ratio,coherence_at_tpf,coherence_at_dominant_resonant,cross_spectral_centroid,multi_axis_energy_asymmetry,d1_energy,d2_energy,d3_energy,d4_energy,a4_energy,wavelet_energy_entropy,d1_wavelet_kurtosis,d3_wavelet_std,d1_relative_energy,d3_d4_subband_energy_ratio,permutation_entropy,higuchi_fractal_dimension,katz_fractal_dimension,phase_space_ellipsicity,phase_space_area,ar_coeff_1,ar_coeff_2,ar_coeff_3,ar_residual_variance,autocorr_first_zero_lag,harmonic_peak_ratio,dominant_peak_tpf_ratio,transimpedance,acceleration_jerk_rms,blim_critical_depth,chatter_label
1,1,time1_1.h5,2000.0,0.001,1.298187118679872,-0.0706318661677369,1.6807121562095308,3.37952439222494,1.3022970863528722,2.1887865440295253,0.0850658273859656,0.0850658273859656,2.1558988826977177,2.239117114416457,0.4182322779986436,398.9939719613501,0.0887006098960181,3.057573265868197e-07,666.6666666666019,736.4818060015572,4.291155857836923,26.19296207755476,0.8793502663417568,0.0004787234042553,0.2030308268915098,0.9999999972759908,0.9999882452227769,169.75802719521093,-0.4643337533540537,241.484248216729,1530.63310162088,12166.619230877292,44209.909397028765,5053382.971807966,0.1005193679723332,16.470126817628934,2.074905760630524,4.724303130131842e-05,0.2752011799348989,0.2655786926864802,1.0028785061987509,1.020606058505365,0.7822365434869334,4.963577884940346e-07,1.885121036931238,-0.9008667320575194,0.0081313156640715,0.1472685621532852,0.0019148936170214,0.0089078212467675,0.9999999999999029,0.929560558613166,54564.372652897415,0.0014729720492096473,0
1,10,time1_10.h5,3000.0,0.001,1.308597179520628,-0.0778663590278285,1.671077925607397,3.309070414851864,1.2968882127684789,2.167201264337834,0.0955037300893877,0.0955037300893877,3.021641439164509,1.779850205058317,0.4236920614621581,491.4205195811166,0.0919205604007719,1.440055631367517e-06,809.1666666666667,796.7888096606641,3.575571304061582,18.73410289396921,0.8844098598332288,0.0003225806451612,0.2744060848865584,0.9999999976950538,0.9999998273826268,247.24767565992343,-0.4692303696001643,506.8482788303168,4097.317985857516,23919.881242979885,69722.59214734346,4869475.719054464,0.1615008164721729,13.95533119717166,3.580334702519015,0.000102028302355,0.3430721736855457,0.2892822056830978,1.0064623645313515,1.0469982037433805,0.8492351532381516,5.15952563020333e-07,1.889207320621374,-0.9364941150349771,0.0321097728753648,0.4850516963288697,0.0012903225806451,0.0083867010585527,1.0,1.3440914364765906,50564.13838086595,0.00122736072758267,0
1,100,time1_100.h5,12000.0,0.001,1.2654562948884651,-0.0721198586003883,1.727681594783797,3.766436152161912,1.321630236970492,2.283356235523667,0.1250325605626465,0.1250325605626465,4.695323175687619,1.932862930716619,0.4018102554317074,1415.1503068740774,0.1171956443574094,6.672880627112342e-05,3200.000000000068,1658.8231032579445,1.4661836213386132,4.195408466248585,0.8441398832966076,7.812499999999833e-05,0.26257721312466,0.99999999999983,0.999999999963716,1094.966423415868,-0.461796842590017,6290.255731843122,14916.851135732786,234137.96162284652,262388.6901425063,691769.2798405174,1.515547913212475,4.007933051008574,21.79865940958712,0.0052006944437132,0.8923325220141292,0.414498779715556,1.2008127459458533,1.200014150231978,0.7062297281467721,3.743825378485544e-07,1.1296274460887152,-0.0409659228697468,-0.3491415351065288,21.39282090440796,0.0003124999999999,0.0096204965499813,1.000000000000021,0.4608267383351271,213711.77053029844,0.001205076880252254,0
1,101,time1_101.h5,12000.0,0.002,3.036434023112349,1.0033384482827652,3.1197924832527786,9.418824647458306,1.5484185525615666,4.8307445612107225,0.0812711643657202,0.0812711643657202,2.448186007747245,-0.6911378545923353,0.6347120960898578,1422.5687795254462,0.2800334554615374,0.0007461318831725,2616.6666666667224,1278.2914171985017,1.4936105161617017,5.159162174614317,0.8777663219905519,0.0038281249999999,0.2274038723344536,0.9999908699502152,0.9976976680432574,1006.8048183526064,-0.3627530739466843,51551.57273249278,427935.221907088,2094041.934296314,1078093.726176268,3009402.48135666,1.7766371276548196,3.168141039480646,65.58405793544419,0.0077392853538575,1.9423561082424283,0.4934608568132885,1.408668506334873,1.4164152981322822,0.7475846878876463,4.383563141624986e-05,1.790715229846759,-1.2676429916076053,0.3097073832724564,86.41215397589784,0.0003124999999999,0.0090611679864087,1.000000000000021,0.1033245944833006,1364938.0051883955,0.001205076880252254,1
1,102,time1_102.h5,12000.0,0.003,4.817373188386802,1.6265586736184632,3.679361097841032,15.448323274248123,1.8010207335204829,6.626605623320383,0.0815316488668924,0.0815316488668924,2.299441098998515,-0.7194560769608717,0.7684775029353013,1566.8913654061528,0.3301842105552032,0.002063652195638,2830.0000000000605,1338.8963525337313,1.4289973176947712,4.860819240210678,0.9126587409971564,0.0038281249999999,0.2142192338787411,0.9998420369385014,0.9973331583901882,1044.317498488582,-0.3246548167676493,200103.2803146243,2045436.064656776,7695021.85470808,3148564.1516074045,7466367.220084769,1.8722764788354325,5.07881890253304,125.82425071589932,0.0097347840057754,2.443978106902989,0.4813526370906844,1.5067347977121868,1.576607370191612,0.7417667017957648,0.0001854862318733,1.775794933370029,-1.2802122555800346,0.326394755033571,347.01317901321903,0.0003124999999999,0.0074443688727816,1.000000000000021,0.0825246090955687,2971072.359206551,0.001205076880252254,1
1,11,time1_11.h5,3000.0,0.002,2.3893525970427003,0.7794499896806477,2.538285670477519,6.751272888900544,1.4822698302816928,3.7624242699851647,0.0828012635257745,0.0828012635257745,1.6908036771142012,-0.2188979090918369,0.615853656212862,927.0847660686672,0.2068854632936681,8.043040686546797e-05,1555.0,987.574356124972,2.4669700685771137,10.381231528133506,0.8792942746844015,0.0195967741935483,0.2586828270516941,0.9999848193487432,0.9995636260319706,371.9259187412173,-0.3926189902764287,6113.057733969468,113070.9205501032,1467928.3251442758,3221035.5538296504,15149894.791406969,1.0493256891461302,12.280400963573708,28.04759187703045,0.0003062954539972,0.4557317982407807,0.3923982924144593,1.1829494924732356,1.201818328825678,0.7740229568610907,2.397409758715662e-05,2.355181208995134,-1.932824651224886,0.5495004964882096,5.248911182669963,0.0007258064516129,0.0079332556084375,1.0,0.1198065502429942,999041.7500159092,0.00122736072758267,1
1,12,time1_12.h5,3000.0,0.003,4.455431001713701,1.547527176552323,3.8002287287613057,15.075776534097969,1.7782647579894326,6.757812820655213,0.0832045164325559,0.0832045164325559,1.702052270594021,0.379499405166029,0.7737173789485485,1045.027456709522,0.3079394378697076,0.0003009936882608,1738.3333333333337,1035.4403764428666,2.398294280067328,9.621289130215304,0.9073724089345,0.009758064516129,0.2387883527228964,0.9995124789280616,0.9993002626971802,539.4102842212591,-0.3459759955605613,70103.19366906829,1506251.432298271,12042992.534202017,20264282.66180678,37439166.75410812,1.5645388425659954,9.871082687373098,80.3359900331844,0.0009829002371532,0.5942965134857753,0.4054971949816006,1.2317414902239356,1.3468610200561626,0.7817505501098578,0.0001633948804221,2.2340299414435023,-1.7896605967347765,0.5002467553678107,54.33903797167088,0.0004838709677419,0.0064665526214174,1.0,0.0930615985311899,2459715.8424527664,0.00122736072758267,1
1,13,time1_13.h5,3500.0,0.001,1.316494280632709,-0.0989970914090837,1.6418378037760817,3.237193414069591,1.2925846441884212,2.1222143334090053,0.1104251871286364,0.1104251871286364,1.5823462348770008,1.99384443906758,0.4271947677095932,548.6785771963874,0.0930403662242821,1.678090678580357e-06,933.3333333333346,918.260635214686,3.4730301164725854,17.61545911364039,0.8738708705136813,0.0003174603174603,0.1982347360240491,0.9999999511093388,0.9999689656971026,294.5379213116099,-0.4823465707416869,766.6245577495954,4813.045816852113,20269.858783907257,65014.15735508926,3142845.85909013,0.2159851844280039,9.855956099114648,3.5307337544613984,0.0002370727942439,0.3117760747585933,0.2911664055584019,1.0081808943323065,1.0470755513299006,0.7164364982116861,2.140221191341372e-07,1.868492149281769,-0.9548152868737596,0.0667312970971761,0.6575274964538025,0.0011111111111111,0.0080796928764279,1.000000000000001,1.2154761362579918,45767.79946082859,0.0037118327626069485,0
1,14,time1_14.h5,3500.0,0.002,1.3386663838224366,-0.0758822017099652,1.7277691074296646,3.2310312856164978,1.281599097081778,2.2143073280476475,0.0743112894513465,0.0743112894513465,2.009729412962898,0.9545406003151626,0.4379950398981733,428.78507004658775,0.0884534960424795,1.2655396066545526e-06,741.8055555555566,689.391702511844,4.2651505347047305,26.730611731656374,0.9140032184314746,0.0003174603174603,0.2057729927824577,0.9999995940434376,0.999867786477763,264.4719792431418,-0.4692326344838393,707.9261013593725,3641.7654291939343,46666.00787905711,235500.9566333805,12424999.233765058,0.1726126150469328,8.71335836135127,5.357221140176445,5.569171352151476e-05,0.1981563410449542,0.2940081272952809,1.008246744549656,1.0963702363950665,0.6813156259349211,1.1814779242864153e-06,1.8990900045087629,-0.8916326617670485,-0.0246906762995475,0.7020198667317441,0.0011111111111111,0.0072153385722293,1.000000000000001,1.2876372805432257,76827.39955130761,0.0037118327626069485,0
1,15,time1_15.h5,3500.0,0.003,1.3726896017557413,-0.0577054556306323,1.819520210705394,3.208064460034517,1.2667722918374835,2.304917787359893,0.0743112894513465,0.0743112894513465,2.7585451146246154,0.5753245738821555,0.4532411512989299,398.7243683459738,0.085582992638951,1.279044706354157e-06,700.0000000000009,629.9644721465594,4.663733806895213,32.70518898510187,0.9394286272089596,0.0003968253968253,0.217219435408897,0.9999989685876088,0.9997213155934828,250.7125363910039,-0.4580447092553844,654.7313427261338,3421.813666819811,47762.50493959577,461203.754302331,27429093.49486405,0.1416374839658597,8.781786155261035,5.419788452401951,2.343168524114809e-05,0.1035605293626604,0.2966528356426989,1.008683094829138,1.1357112190793293,0.6431071159846046,3.196229766489941e-06,1.899551061516739,-0.8608115565523805,-0.0547696410154822,0.7046092304278102,0.0011111111111111,0.0060227434268071,1.000000000000001,1.4039186073770669,98247.6791042692,0.0037118327626069485,0
