fold,model,subset,num_features,f1,recall,precision,accuracy,roc_auc,pr_auc,selected_features
1,XGBoost,Set C (Fold Pruned 12),12,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9907407407407408,0.9882716049382716,"ar_coeff_2, impulse_factor, d2_energy, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, katz_fractal_dimension, skewness_1st_derivative, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis"
1,XGBoost,Set D (Fold Top 6),6,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9907407407407407,0.9882716049382716,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3"
1,LightGBM,Set A (All 48),48,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9814814814814814,0.9751543209876543,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
1,LightGBM,Set B (Fold Top 20),20,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9814814814814814,0.9751543209876543,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, spectral_entropy, katz_fractal_dimension, skewness_1st_derivative, skewness, kurtosis, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis, higuchi_fractal_dimension, d3_energy"
1,LightGBM,Set C (Fold Pruned 12),12,0.9473684210526315,1.0,0.9,0.9523809523809523,0.9814814814814815,0.9751543209876543,"ar_coeff_2, impulse_factor, d2_energy, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, katz_fractal_dimension, skewness_1st_derivative, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis"
1,LightGBM,Set D (Fold Top 6),6,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9629629629629629,0.9427469135802469,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3"
2,Logistic Regression,Set A (All 48),48,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9351851851851851,0.9353344186677521,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
2,Logistic Regression,Set B (Fold Top 20),20,0.875,0.7777777777777778,1.0,0.9047619047619048,0.8981481481481481,0.9094525844525845,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor, shape_factor, skewness, d3_d4_subband_energy_ratio, ar_coeff_2, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid, kurtosis, spectral_flatness"
2,Logistic Regression,Set C (Fold Pruned 12),12,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9074074074074074,0.9179503367003368,"spectral_entropy, d2_energy, ar_coeff_3, d3_d4_subband_energy_ratio, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid"
2,Logistic Regression,Set D (Fold Top 6),6,0.875,0.7777777777777778,1.0,0.9047619047619048,0.888888888888889,0.9164392462638078,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor"
