model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,total_tn,total_fp,total_fn,total_tp
Logistic Regression,0.9609523809523809,0.03590741432668353,1.0,0.0,0.9055555555555556,0.08489281549964514,0.9483333333333335,0.04725815626252608,0.9849537037037036,0.02520917294455925,0.9841154948446615,0.025051216729828192,60,0,4,38
Random Forest,0.9519047619047619,0.0521727463801994,0.9800000000000001,0.03999999999999999,0.9083333333333332,0.1301708279317776,0.936140350877193,0.07324514129482908,0.9912037037037038,0.008072035080630882,0.98912177328844,0.010070628645827577,59,1,4,38
XGBoost,0.9419047619047619,0.04647677595259644,0.9577777777777777,0.05183068350973601,0.9083333333333332,0.1301708279317776,0.9243756449948402,0.06645226829787218,0.9814814814814815,0.03260521641047966,0.9789212639212639,0.036576427801672765,58,2,4,38
LightGBM,0.9423809523809524,0.05545932709158351,0.9777777777777779,0.04444444444444447,0.8861111111111111,0.12184284555256285,0.9244444444444445,0.07516237566794562,0.9925925925925926,0.009072184232530303,0.9907884399551066,0.011340173363744117,59,1,5,37
Extra Trees,0.9519047619047619,0.042602417612085795,1.0,0.0,0.8861111111111111,0.09953596037316063,0.9366666666666668,0.05592653911854173,0.986574074074074,0.014072855697750585,0.9852540360873693,0.014247555170661324,60,0,5,37
