feature_name,selection_count_set_c,selection_freq_set_c_pct,selection_count_set_b,selection_count_set_e_nested,stability_category,mean_rank,median_rank,avg_rf_shap,avg_xgb_shap,avg_lr_abs_coef,mean_permutation_importance,sd_permutation_importance
kurtosis_1st_derivative,5,100.0,5,2,Group 1 (High Stability >=4/5),11.4,9.0,0.003750711592157921,0.07195888459682465,0.2658045403913476,0.0019753086419753044,0.003628873693012112
ar_coeff_2,4,80.0,5,4,Group 1 (High Stability >=4/5),3.0,1.0,0.03422488644383761,1.1687219142913818,0.6806289833097209,0.002962962962962967,0.007870309852103317
d2_energy,4,80.0,5,5,Group 1 (High Stability >=4/5),3.6,3.0,0.05960816671919748,0.5516878962516785,0.06318038038600579,-0.0004585537918871292,0.009547524201304808
skewness_1st_derivative,4,80.0,4,1,Group 1 (High Stability >=4/5),12.2,12.0,0.015561316104310802,0.08703623712062836,0.6419242909951034,0.0014814814814814792,0.002962962962962958
multi_axis_energy_asymmetry,4,80.0,4,3,Group 1 (High Stability >=4/5),12.4,7.0,0.006433014151897615,0.14093998074531555,0.5799348730021165,-0.0004938271604938293,0.002419249128674745
d3_d4_subband_energy_ratio,4,80.0,4,0,Group 1 (High Stability >=4/5),14.4,11.0,0.003951490268401013,0.03736559674143791,0.11865641310541337,0.0004938271604938264,0.0009876543209876528
coherence_at_dominant_resonant,4,80.0,4,0,Group 1 (High Stability >=4/5),17.2,12.0,0.0012860595300408192,0.05659891292452812,0.03139590831249656,0.0014814814814814792,0.002962962962962958
impulse_factor,3,60.0,5,5,Group 2 (Moderate Stability 3/5),2.0,2.0,0.04439439598316622,0.7910642623901367,0.26966517212747404,0.001992945326278648,0.009296992067736081
cross_axis_peak_delay,3,60.0,4,0,Group 2 (Moderate Stability 3/5),15.4,14.0,0.02571594721134101,0.0053746821358799934,0.266517955997601,-0.0009876543209876468,0.006551357610578568
cross_spectral_centroid,3,60.0,3,1,Group 2 (Moderate Stability 3/5),15.4,18.0,0.0028600286274177177,0.07132546603679657,0.050436804718523034,0.0,0.0
phase_space_ellipsicity,3,60.0,3,0,Group 2 (Moderate Stability 3/5),17.0,16.0,0.0038656401281887617,0.022950340062379837,0.2850671104150684,0.0,0.0
bivariate_orbit_radius_ratio,3,60.0,3,0,Group 2 (Moderate Stability 3/5),21.0,19.0,0.005693511890961201,0.010927923955023289,0.6985242152196852,0.002469135802469132,0.003825168736994973
spectral_entropy,2,40.0,5,4,Group 3 (Low Stability <=2/5),4.6,3.0,0.05444527565340516,0.7678498029708862,0.262869411911515,0.005943562610229271,0.0072674268423944316
cross_correlation_coeff,2,40.0,2,1,Group 3 (Low Stability <=2/5),26.8,25.0,0.001486006803716908,0.04379163682460785,0.05193229442077031,0.002962962962962958,0.003950617283950611
d1_relative_energy,2,40.0,3,0,Group 3 (Low Stability <=2/5),26.8,19.0,0.0012852969053697779,0.020515266805887222,0.12988463826642016,0.0,0.0
ar_coeff_3,1,20.0,5,4,Group 3 (Low Stability <=2/5),7.2,6.0,0.03783373912092045,0.12065012753009796,0.6437908506653502,0.005925925925925918,0.005084261798018264
ar_coeff_1,1,20.0,4,1,Group 3 (Low Stability <=2/5),11.4,9.0,0.012308017914884515,0.07813190668821335,0.6283573463055199,-0.0019753086419753057,0.005272631235571013
spectral_flatness,1,20.0,2,0,Group 3 (Low Stability <=2/5),21.4,24.0,0.011498087147165884,0.008781617507338524,0.15138335406328685,0.0019753086419753057,0.0036288736930121103
coherence_at_tpf,1,20.0,2,0,Group 3 (Low Stability <=2/5),23.6,21.0,0.001824964173561753,0.012458575889468193,0.1915645234858694,0.0009876543209876528,0.0019753086419753057
wavelet_energy_entropy,1,20.0,2,0,Group 3 (Low Stability <=2/5),26.0,25.0,0.0023389340099765434,0.00977860577404499,0.15111809484500544,0.0,0.0
autocorr_first_zero_lag,1,20.0,1,0,Group 3 (Low Stability <=2/5),27.6,31.0,0.004092695314577074,0.004001464229077101,0.07571743571505596,0.0014814814814814792,0.002962962962962958
zero_crossing_rate,1,20.0,1,0,Group 3 (Low Stability <=2/5),27.8,28.0,0.0020230190345789673,0.00831259973347187,0.38858369696943507,0.0,0.0
a4_energy,1,20.0,1,0,Group 3 (Low Stability <=2/5),35.4,44.0,0.0006793991833128288,0.007192439399659634,0.08834683409423348,0.0,0.0
katz_fractal_dimension,1,20.0,1,0,Group 3 (Low Stability <=2/5),35.8,40.0,0.0009071431551517638,0.008061579428613186,0.1243397026711889,0.0,0.0
d1_wavelet_kurtosis,1,20.0,1,0,Group 3 (Low Stability <=2/5),37.4,42.0,0.0008255233731780575,0.002252963837236166,0.13090783762013833,-0.0024691358024691397,0.004938271604938279
skewness,0,0.0,5,0,Group 3 (Low Stability <=2/5),12.2,13.0,0.034777069319662776,0.004652823321521282,0.1939731496623395,0.0009876543209876556,0.0019753086419753117
crest_factor,0,0.0,5,2,Group 3 (Low Stability <=2/5),12.2,14.0,0.03128429302822677,0.049439046531915665,0.37874283947473286,-0.001499118165784834,0.001984420907094911
margin_factor,0,0.0,2,1,Group 3 (Low Stability <=2/5),17.0,21.0,0.019389641406799333,0.03904625028371811,0.1748745991226551,0.0024691358024691292,0.0054096055062238585
kurtosis,0,0.0,4,0,Group 3 (Low Stability <=2/5),18.0,19.0,0.021623256565931805,0.0,0.17985721850296965,0.0004938271604938294,0.007390928171405309
d3_energy,0,0.0,3,0,Group 3 (Low Stability <=2/5),19.2,20.0,0.009183247150295974,0.011463301256299019,0.11243363932094692,0.0,0.003123237195228024
shape_factor,0,0.0,1,1,Group 3 (Low Stability <=2/5),25.2,27.0,0.005811931008782273,0.010250138118863106,0.20125918365811293,0.0,0.0
d1_energy,0,0.0,0,0,Group 3 (Low Stability <=2/5),28.6,30.0,0.005476326237036442,0.0,0.026157204965792456,0.0014814814814814792,0.002962962962962958
ar_residual_variance,0,0.0,0,0,Group 3 (Low Stability <=2/5),29.2,29.0,0.006017135047873401,0.0,0.06220312876307275,0.0029629629629629585,0.0036288736930121103
d4_energy,0,0.0,0,0,Group 3 (Low Stability <=2/5),29.6,28.0,0.002550923738670545,0.0036519255954772234,0.1745018210031625,0.0,0.0
