model,subset,num_features,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,delta_f1_vs_set_a
Logistic Regression,Set E_fixed (7 Fixed High-Stab),7,0.9249019607843139,0.052335634577927455,0.8599291052851834,0.9898748162834443,0.8861111111111111,0.11128458680005626,0.7479551981131641,1.0,0.9777777777777779,0.04969039949999535,0.916088888888889,1.0,0.9419047619047619,0.03957684336341447,0.8927714983893646,0.9910380254201592,0.9879629629629629,0.013262293065399285,0.9714982910835716,1.0,0.9849203843995513,0.015647809013965213,0.9654941781035616,1.0,-0.023431372549019613
Logistic Regression,Set E_nested (Fold Top 7),7,0.9233333333333335,0.0518411033833193,0.8589744209745933,0.9876922456920736,0.861111111111111,0.09160351359911749,0.7473885604955075,0.9748336617267146,1.0,0.0,1.0,1.0,0.9419047619047619,0.03957684336341447,0.8927714983893646,0.9910380254201592,0.9657407407407408,0.051093998745634785,0.9023093325970251,1.0,0.971706982101719,0.03694227100735324,0.9258444478011838,1.0,-0.025000000000000022
Random Forest,Set A (All 48),48,0.936140350877193,0.08189055747840739,0.8344760947599703,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9519047619047619,0.05833090373949097,0.8794889899290451,1.0,0.9912037037037038,0.009024809578526824,0.9799997190117882,1.0,0.98912177328844,0.011259305114113558,0.9751437407280313,1.0,0.0
Random Forest,Set B (Fold Top 20),20,0.936140350877193,0.08189055747840739,0.8344760947599703,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9519047619047619,0.05833090373949097,0.8794889899290451,1.0,0.9925925925925926,0.010143010324169758,0.9800004008778406,1.0,0.9900617283950617,0.013608538851594411,0.9731672045111027,1.0,0.0
Random Forest,Set C (Fold Pruned 12),12,0.951140350877193,0.05220919695062939,0.8863244632595899,1.0,0.9305555555555556,0.10111263735111829,0.8050277611811868,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9614285714285714,0.03999716543244516,0.9117734928004986,1.0,0.9773148148148149,0.034968264075521664,0.9339029409136524,1.0,0.9812654320987655,0.023267081297246316,0.9523801663863273,1.0,0.014999999999999902
Random Forest,Set D (Fold Top 6),6,0.936140350877193,0.08189055747840739,0.8344760947599703,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9519047619047619,0.05833090373949097,0.8794889899290451,1.0,0.987037037037037,0.02028602064833953,0.9618526536075329,1.0,0.9854088504088505,0.021606586191291955,0.9585850311553359,1.0,0.0
Random Forest,Set E_fixed (7 Fixed High-Stab),7,0.9526109391124871,0.026955181843427573,0.9191470258726839,0.9860748523522902,0.9527777777777778,0.06484787516627086,0.8722714142535121,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9609523809523809,0.02186072177359627,0.9338130612831473,0.9880917006216144,0.9962962962962962,0.005071505162084863,0.9900002004389202,1.0,0.9953086419753087,0.006423906538640841,0.9873335872226323,1.0,0.016470588235294015
Random Forest,Set E_nested (Fold Top 7),7,0.936140350877193,0.08189055747840739,0.8344760947599703,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9519047619047619,0.05833090373949097,0.8794889899290451,1.0,0.9907407407407408,0.01603750747748963,0.970830737464682,1.0,0.9878122494789162,0.021310257075414223,0.9613563124337933,1.0,0.0
XGBoost,Set A (All 48),48,0.9243756449948402,0.07429589458654821,0.8321398965973936,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9419047619047619,0.05196261520251659,0.8773949968825581,1.0,0.9814814814814815,0.036453740157462104,0.9362254411037357,1.0,0.9789212639212639,0.04089368946932675,0.928153182132542,1.0,0.0
XGBoost,Set B (Fold Top 20),20,0.9243756449948402,0.07429589458654821,0.8321398965973936,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9419047619047619,0.05196261520251659,0.8773949968825581,1.0,0.9796296296296297,0.04057204129667895,0.9292608627706216,1.0,0.9775407925407926,0.043958292496448635,0.9229681135354859,1.0,0.0
XGBoost,Set C (Fold Pruned 12),12,0.936140350877193,0.08189055747840739,0.8344760947599703,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9800000000000001,0.04472135954999578,0.9244800000000001,1.0,0.9519047619047619,0.05833090373949097,0.8794889899290451,1.0,0.975925925925926,0.04882009750542244,0.9153174864514756,1.0,0.9768877264710598,0.04540912768309245,0.9205138864462091,1.0,0.0117647058823529
XGBoost,Set D (Fold Top 6),6,0.9243756449948402,0.07429589458654821,0.8321398965973936,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9419047619047619,0.05196261520251659,0.8773949968825581,1.0,0.9787037037037036,0.042632831234153144,0.9257765383863333,1.0,0.9766765950099284,0.045878300505204694,0.9197202933751047,1.0,0.0
XGBoost,Set E_fixed (7 Fixed High-Stab),7,0.93937564499484,0.04450610368375316,0.884122877606148,0.9946284123835321,0.9305555555555556,0.10111263735111829,0.8050277611811868,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9514285714285714,0.03369699583560337,0.9095949324780115,0.9932622103791313,0.987037037037037,0.024145194093343154,0.9570616250739064,1.0,0.9884479717813051,0.019932574555407607,0.9637023792847474,1.0,0.014999999999999902
XGBoost,Set E_nested (Fold Top 7),7,0.9243756449948402,0.07429589458654821,0.8321398965973936,1.0,0.9083333333333332,0.14553540997144152,0.7276562241640259,1.0,0.9577777777777777,0.057948465824023555,0.8858367890662642,1.0,0.9419047619047619,0.05196261520251659,0.8773949968825581,1.0,0.9787037037037036,0.042632831234153144,0.9257765383863333,1.0,0.9766765950099284,0.045878300505204694,0.9197202933751047,1.0,0.0
