feature_name,shap_rf,shap_xgb,composite_shap
ar_coeff_2,0.04652654067125019,1.2327813,0.6396539158396229
impulse_factor,0.04071585685927969,0.8750316,0.4578737236605053
spectral_entropy,0.050892194467503094,0.83687997,0.4438860815553458
d2_energy,0.06844057762455853,0.6011584,0.3347994790664907
skewness_1st_derivative,0.009126984519553539,0.19293198,0.1010294822070958
ar_coeff_3,0.05140719713774538,0.11564655,0.0835268728534739
kurtosis_1st_derivative,0.005209307375300602,0.12655784,0.0658835746361557
ar_coeff_1,0.010504374126373799,0.058537282,0.034520828088014856
coherence_at_dominant_resonant,0.0012738230053850877,0.06431882,0.03279632191977247
cross_spectral_centroid,0.004590447177296061,0.059571452,0.0320809498080637
d3_d4_subband_energy_ratio,0.002955670373883471,0.051864233,0.027409951620919817
phase_space_ellipsicity,0.003581735517478505,0.043367326,0.023474530888545772
d1_relative_energy,0.0002774500972669944,0.043722343,0.021999896398516575
crest_factor,0.029576150440575037,0.0,0.014788075220287519
cross_axis_peak_delay,0.02870484516458575,0.0,0.014352422582292875
skewness,0.027517805098199382,0.0,0.013758902549099691
d4_energy,0.004842388668412842,0.022294959,0.01356867386090501
kurtosis,0.02653961522453766,0.0,0.01326980761226883
zero_crossing_rate,0.0011457621793597053,0.024072323,0.012609042586915151
d1_energy,0.004353500689400105,0.019493718,0.011923609194821551
coherence_at_tpf,0.0014385716300265026,0.015684426,0.008561498730433784
margin_factor,0.011888190436665624,0.0,0.005944095218332812
spectral_skewness,0.0019791129407208735,0.009266081,0.005622597103413025
permutation_entropy,0.0021876786660595168,0.007170271,0.004678974897237789
d3_energy,0.00932561331285194,0.0,0.00466280665642597
shape_factor,0.008364435220385422,0.0,0.004182217610192711
spectral_centroid,0.00132796762153157,0.0070102285,0.004169098043887061
wavelet_energy_entropy,0.0011219321364210164,0.006810741,0.003966336584913041
multi_axis_energy_asymmetry,0.007519329574698658,0.0,0.003759664787349329
ar_residual_variance,0.007413331234563319,0.0,0.0037066656172816594
spectral_flatness,0.005871467192682166,0.0,0.002935733596341083
d3_wavelet_std,0.0042827840761297505,0.0,0.0021413920380648752
bivariate_orbit_radius_ratio,0.004166028615811289,0.0,0.0020830143079056443
autocorr_first_zero_lag,0.003385296345981418,0.0,0.001692648172990709
cross_correlation_coeff,0.0021592632601176525,0.0,0.0010796316300588262
spectral_kurtosis,0.0017571343754256843,0.0,0.0008785671877128421
d1_wavelet_kurtosis,0.0016934466504624245,0.0,0.0008467233252312123
higuchi_fractal_dimension,0.001688565613290434,0.0,0.000844282806645217
off_harmonic_energy_ratio,0.00124040533201056,0.0,0.00062020266600528
katz_fractal_dimension,0.001130077655458913,0.0,0.0005650388277294565
spectral_rolloff_85,0.0011083822723753722,0.0,0.0005541911361876861
a4_energy,0.0009567565817169298,0.0,0.0004783782908584649
phase_space_area,0.0008152431368967014,0.0,0.0004076215684483507
acceleration_jerk_rms,0.000724641598429671,0.0,0.0003623207992148355
transimpedance,0.0005918675375291944,0.0,0.0002959337687645972
spectral_spread,0.000412905557645381,0.0,0.0002064527788226905
harmonic_peak_ratio,0.0003938691913732008,0.0,0.0001969345956866004
dominant_peak_tpf_ratio,0.0,0.0,0.0
